model,hr_at_10,ndcg_at_10,hr_lo95,hr_hi95,ndcg_lo95,ndcg_hi95,n_users,protocol
svd,0.335,0.18443998102898748,0.3183308426820565,0.35209117739730106,0.17377152724694367,0.1951084348110313,3000,"warm, positives=rating5, 1+99"
bias_only,0.4146666666666667,0.2575765538550216,0.39715728782996074,0.4323943023524949,0.24488894253801924,0.27026416517202395,3000,"warm, positives=rating5, 1+99"
popularity,0.6976666666666667,0.501160838982501,0.6809880243798765,0.7138397374240446,0.48667731014585947,0.5156443678191425,3000,"warm, positives=rating5, 1+99"
